Scenario,year,variable,sector,sector2,subsector,labor,qualifier,value,solvestat
BAU,2012,output,Elec,,,,output,1.47E+05,1
BAU,2012,Sectoral price,Elec,,,,Sectoral price,1.000001152,1
BAU,2012,employment,Elec,,,Labor,employment,0,1
BAU,2012,Sectoral wage,Elec,,,Labor,Sectoral wage,0.999999744,1
BAU,2012,aggregated wage,Elec,,,Labor,Sectoral wage,1,1
BAU,2012,output,Coal,,,,output,91467.16548,1
BAU,2012,Sectoral price,Coal,,,,Sectoral price,1.000000227,1
BAU,2012,employment,Coal,,,Labor,employment,6354.957452,1
BAU,2012,Sectoral wage,Coal,,,Labor,Sectoral wage,0.99999955,1
BAU,2012,aggregated wage,Coal,,,Labor,Sectoral wage,0.99999955,1
BAU,2012,output,Oilgas,,,,output,68158.45442,1
BAU,2012,Sectoral price,Oilgas,,,,Sectoral price,1.000001245,1
BAU,2012,employment,Oilgas,,,Labor,employment,1524.598551,1
BAU,2012,Sectoral wage,Oilgas,,,Labor,Sectoral wage,0.999997815,1
BAU,2012,aggregated wage,Oilgas,,,Labor,Sectoral wage,0.999997815,1
BAU,2012,output,Roil,,,,output,1.26E+05,1
BAU,2012,Sectoral price,Roil,,,,Sectoral price,1.000001168,1
BAU,2012,employment,Roil,,,Labor,employment,1150.795776,1
BAU,2012,Sectoral wage,Roil,,,Labor,Sectoral wage,0.999999897,1
BAU,2012,aggregated wage,Roil,,,Labor,Sectoral wage,0.999999897,1
BAU,2012,output,Gas,,,,output,15535.4841,1
BAU,2012,Sectoral price,Gas,,,,Sectoral price,1.000001048,1
BAU,2012,employment,Gas,,,Labor,employment,242.0088202,1
BAU,2012,Sectoral wage,Gas,,,Labor,Sectoral wage,0.999999605,1
BAU,2012,aggregated wage,Gas,,,Labor,Sectoral wage,0.999999605,1
BAU,2012,output,AgriPr,,,,output,2.52E+05,1
BAU,2012,Sectoral price,AgriPr,,,,Sectoral price,1.000010729,1
BAU,2012,employment,AgriPr,,,Labor,employment,30796.2339,1
