Scenario,rate,delta,variable,sector,subsector,labor,qualifier,value,solvestat
"R",0.000000000,0.000000000,"output","Elec","","","output",48693.358892610,1.000000000
"R",0.000000000,0.000000000,"Sectoral price","Elec","","","price",1.000000006,1.000000000
"R",0.000000000,0.000000000,"employment","Elec","","LabSk","employment",145.016989204,1.000000000
"R",0.000000000,0.000000000,"Sectoral wage","Elec","","LabSk","Sectoral wage",11.498637839,1.000000000
"R",0.000000000,0.000000000,"employment intensity","Elec","","LabSk","employment intensity",0.002978168,1.000000000
"R",0.000000000,0.000000000,"employment","Elec","","LabUn","employment",248.052909214,1.000000000
"R",0.000000000,0.000000000,"Sectoral wage","Elec","","LabUn","Sectoral wage",8.088830264,1.000000000
"R",0.000000000,0.000000000,"employment intensity","Elec","","LabUn","employment intensity",0.005094184,1.000000000
"R",0.000000000,0.000000000,"employment intensity","Elec","","total","employment intensity",0.008072351,1.000000000
"R",0.000000000,0.000000000,"output","Coal","","","output",27572.676244393,1.000000000
"R",0.000000000,0.000000000,"Sectoral price","Coal","","","price",1.000000004,1.000000000
"R",0.000000000,0.000000000,"employment","Coal","","LabSk","employment",57.310153592,1.000000000
"R",0.000000000,0.000000000,"Sectoral wage","Coal","","LabSk","Sectoral wage",17.551219270,1.000000000
"R",0.000000000,0.000000000,"employment intensity","Coal","","LabSk","employment intensity",0.002078513,1.000000000
"R",0.000000000,0.000000000,"employment","Coal","","LabUn","employment",457.682266833,1.000000000
"R",0.000000000,0.000000000,"Sectoral wage","Coal","","LabUn","Sectoral wage",11.687320988,1.000000000
"R",0.000000000,0.000000000,"employment intensity","Coal","","LabUn","employment intensity",0.016599124,1.000000000
"R",0.000000000,0.000000000,"employment intensity","Coal","","total","employment intensity",0.018677636,1.000000000
"R",0.000000000,0.000000000,"output","Oilgas","","","output",11337.676700000,1.000000000
"R",0.000000000,0.000000000,"Sectoral price","Oilgas","","","price",0.999999985,1.000000000
"R",0.000000000,0.000000000,"employment","Oilgas","","LabSk","employment",41.916133915,1.000000000
"R",0.000000000,0.000000000,"Sectoral wage","Oilgas","","LabSk","Sectoral wage",16.744322309,1.000000000
"R",0.000000000,0.000000000,"employment intensity","Oilgas","","LabSk","employment intensity",0.003697066,1.000000000
