Scenario,rate,delta,variable,sector,subsector,labor,qualifier,value,solvestat
"P_ECF_solar",0.180000000,0.050000000,"output","Elec","","","output",48688.714786445,1.000000000
"P_ECF_solar",0.180000000,0.050000000,"Sectoral price","Elec","","","price",0.999772452,1.000000000
"P_ECF_solar",0.180000000,0.050000000,"employment","Elec","","LabSk","employment",0.000000000,1.000000000
"P_ECF_solar",0.180000000,0.050000000,"Sectoral wage","Elec","","LabSk","Sectoral wage",11.494759180,1.000000000
"P_ECF_solar",0.180000000,0.050000000,"employment intensity","Elec","","LabSk","employment intensity",0.002977456,1.000000000
"P_ECF_solar",0.180000000,0.050000000,"employment","Elec","","LabUn","employment",0.000000000,1.000000000
"P_ECF_solar",0.180000000,0.050000000,"Sectoral wage","Elec","","LabUn","Sectoral wage",8.086129941,1.000000000
"P_ECF_solar",0.180000000,0.050000000,"employment intensity","Elec","","LabUn","employment intensity",0.005092948,1.000000000
"P_ECF_solar",0.180000000,0.050000000,"employment intensity","Elec","","total","employment intensity",0.008070403,1.000000000
"P_ECF_solar",0.180000000,0.050000000,"output","Coal","","","output",27570.589214710,1.000000000
"P_ECF_solar",0.180000000,0.050000000,"Sectoral price","Coal","","","price",0.999965527,1.000000000
"P_ECF_solar",0.180000000,0.050000000,"employment","Coal","","LabSk","employment",57.306456203,1.000000000
"P_ECF_solar",0.180000000,0.050000000,"Sectoral wage","Coal","","LabSk","Sectoral wage",17.550036713,1.000000000
"P_ECF_solar",0.180000000,0.050000000,"employment intensity","Coal","","LabSk","employment intensity",0.002078536,1.000000000
"P_ECF_solar",0.180000000,0.050000000,"employment","Coal","","LabUn","employment",457.651145634,1.000000000
"P_ECF_solar",0.180000000,0.050000000,"Sectoral wage","Coal","","LabUn","Sectoral wage",11.686574220,1.000000000
"P_ECF_solar",0.180000000,0.050000000,"employment intensity","Coal","","LabUn","employment intensity",0.016599252,1.000000000
"P_ECF_solar",0.180000000,0.050000000,"employment intensity","Coal","","total","employment intensity",0.018677787,1.000000000
"P_ECF_solar",0.180000000,0.050000000,"output","Oilgas","","","output",11337.676699997,1.000000000
"P_ECF_solar",0.180000000,0.050000000,"Sectoral price","Oilgas","","","price",0.999995802,1.000000000
"P_ECF_solar",0.180000000,0.050000000,"employment","Oilgas","","LabSk","employment",41.916212682,1.000000000
