Year,CarbonPrice,Emission,Emission_elec,Ctax,Ctax1,Ctax2,Ctax3,Ctax4
2017,0.1,84.92403922,43.2,,0,0,0,0
2018,0.4,82.35267857,44,,0.1,0.2,0.3,0.4
2019,0.7,80.15686393,44.8,,0.2,0.4,0.6,0.8
2020,1,78.24401515,45.6,,0.3,0.6,0.9,1.2
2021,1.3,74.05673239,46.4,,0.4,0.8,1.2,1.6
2022,1.6,72.94494737,47.2,,0.5,1,1.5,2
2023,1.9,72.18688272,48,,0.6,1.2,1.8,2.4
2024,2.2,71.60275,48.5,,0.7,1.4,2.1,2.8
2025,2.5,71.05313187,49,,0.8,1.6,2.4,3.2
2026,2.8,70.42100521,49.5,,0.9,1.8,2.7,3.6
2027,3.1,69.65270792,49,,1,2,3,4
2028,3.4,68.76145283,48.5,,1,2,3,4
2029,3.7,67.79091441,48,,1,2,3,4
2030,4,66.793125,46.5,,1,2,3,4
2031,4.3,65.79262397,45,,1,2,3,4
2032,4.6,64.81062302,43.5,,1,2,3,4
2033,4.9,63.86378626,42,,1,2,3,4
2034,5.2,62.94956618,40.5,,1,2,3,4
2035,5.5,62.0865461,39,,1,2,3,4
2036,5.8,61.27433219,37.5,,1,2,3,4
2037,6.1,60.51537086,36,,1,2,3,4
2038,6.4,59.76938462,34.5,,1,2,3,4
2039,6.7,58.99600932,33,,1,2,3,4
2040,7,58.16133735,30,,1,2,3,4
2041,7.3,57.23693567,27,,1,2,3,4
2042,7.6,56.20778693,24,,1,2,3,4
2043,7.9,55.11525967,21,,1,2,3,4
2044,8.2,53.99583065,18,,1,2,3,4
2045,8.5,52.89020157,15,,1,2,3,4
2046,8.8,51.83493878,12,,1,2,3,4
2047,9.1,50.8475796,9,,1,2,3,4
2048,9.4,49.90683738,6,,1,2,3,4
2049,9.7,49.00287441,3,,1,2,3,4
2050,10,48.10859491,0,,1,2,3,4
2051,10.3,47.2059276,-3,,1,2,3,4
2052,10.6,46.27794912,-6,,1,2,3,4
2053,10.9,45.33651082,-9,,1,2,3,4
2054,11.2,44.41002966,-12,,1,2,3,4
2055,11.5,43.50494813,-12,,1,2,3,4
2056,11.8,42.63541463,-12,,1,2,3,4
2057,12.1,41.83141633,-12,,1,2,3,4
2058,12.4,41.07031445,-12,,1,2,3,4
2059,12.7,40.33687739,-12,,1,2,3,4
2060,13,39.62342669,-12,,1,2,3,4
2061,,,,,1,2,3,4
2062,,,,,1,2,3,4
2063,,,,,1,2,3,4
2064,,,,,1,2,3,4
2065,,,,,1,2,3,4
2066,,,,,1,2,3,4
2067,,,,,1,2,3,4
2068,,,,,1,2,3,4
2069,,,,,1,2,3,4
2070,,,,,1,2,3,4
2071,,,,,1,2,3,4
2072,,,,,1,2,3,4
2073,,,,,1,2,3,4
2074,,,,,1,2,3,4
2075,,,,,1,2,3,4
2076,,,,,1,2,3,4
2077,,,,,1,2,3,4
2078,,,,,1,2,3,4
2079,,,,,1,2,3,4
2080,,,,,1,2,3,4
2081,,,,,1,2,3,4
2082,,,,,1,2,3,4
2083,,,,,1,2,3,4
2084,,,,,1,2,3,4
2085,,,,,1,2,3,4
2086,,,,,1,2,3,4
2087,,,,,1,2,3,4
2088,,,,,1,2,3,4
2089,,,,,1,2,3,4
2090,,,,,1,2,3,4
2091,,,,,1,2,3,4
2092,,,,,1,2,3,4
2093,,,,,1,2,3,4
2094,,,,,1,2,3,4
2095,,,,,1,2,3,4
2096,,,,,1,2,3,4
2097,,,,,1,2,3,4
2098,,,,,1,2,3,4
2099,,,,,1,2,3,4
2100,,,,,1,2,3,4
