,UrbanHH,RuralHH
2017,0.75,0.75
2018,0.67,0.67
2019,0.64,0.64
2020,0.33,0.33
2021,0.30,0.30
2022,0.47,0.47
2023,0.54,0.54
2024,0.53,0.53
2025,0.52,0.52
2026,0.51,0.51
2027,0.50,0.50
2028,0.49,0.49
2029,0.48,0.48
2030,0.47,0.47
2031,0.46,0.46
2032,0.45,0.45
2033,0.44,0.44
2034,0.42,0.42
2035,0.41,0.41
2036,0.39,0.39
2037,0.37,0.37
2038,0.35,0.35
2039,0.34,0.34
2040,0.32,0.32
2041,0.30,0.30
2042,0.29,0.29
2043,0.27,0.27
2044,0.25,0.25
2045,0.23,0.23
2046,0.22,0.22
2047,0.20,0.20
2048,0.19,0.19
2049,0.18,0.18
2050,0.16,0.16
2051,0.15,0.15
2052,0.15,0.15
2053,0.14,0.14
2054,0.14,0.14
2055,0.14,0.14
2056,0.14,0.14
2057,0.14,0.14
2058,0.14,0.14
2059,0.14,0.14
2060,0.15,0.15
2061,0.15,0.15
2062,0.15,0.15
2063,0.16,0.16
2064,0.16,0.16
2065,0.16,0.16
2066,0.16,0.16
2067,0.16,0.16
2068,0.16,0.16
2069,0.15,0.15
2070,0.15,0.15
2071,0.15,0.15
2072,0.14,0.14
2073,0.13,0.13
2074,0.12,0.12
2075,0.11,0.11
2076,0.10,0.10
2077,0.10,0.10
2078,0.09,0.09
2079,0.08,0.08
2080,0.07,0.07
2081,0.06,0.06
2082,0.06,0.06
2083,0.05,0.05
2084,0.05,0.05
2085,0.04,0.04
2086,0.04,0.04
2087,0.03,0.03
2088,0.03,0.03
2089,0.03,0.03
2090,0.03,0.03
2091,0.03,0.03
2092,0.03,0.03
2093,0.03,0.03
2094,0.03,0.03
2095,0.03,0.03
2096,0.04,0.04
2097,0.03,0.03
2098,0.03,0.03
2099,0.02,0.02
2100,0.02,0.02
