,AgFFF,Coal,OilGas,OXT,FoodPr,Textile,Apparel,LEA,WoodPr,PaperPr,RefPet,Chemical,NMetPr,Metals,MachRep,MetalPr,GenEqp,TransEqp,ElecEqp,ICTEqp,OthMfg,MVH,BPH,RPP,Elec,GasDist,WatDist,Constr,WhRetTr,TranspSrv,OTP,HotRest,ICTServ,Finance,INS,RealEst and Dwellings,BusServe,Education,Health,RecEnt,PubAdm,WHS,L,K,T,Rural HH,Urban HH,Govt,S,ROW
AgFFF,78884.456,77.294,1.274,22.653,239518.181,2032.35,148.542,17.519,9154.328,3663.955,16.344,5380.228,4.873,0.466,0.125,24.856,33.41,16.615,3.14,2.706,535.959,10.328,197.095,2715.649,9.878,0.471,70.802,1028.813,2121.539,2.503,105.884,4548.758,11.131,9.537,105.294,15.433,2139.298,262.561,339.46,734.362,4561.423,9.264,0,0,0,49045.681,53072.337,1293.125,736.558,82822.927
Coal,2.178,15.338,37.275,3.315,396.577,9.642,0.052,0.009,0.249,185.965,1659.051,196.2,650.044,71.375,6.764,12.367,1.079,0.181,0.978,0.083,6.647,0.488,4.776,48.507,38584.075,208.763,1.72,2.707,5.679,0.018,3.13,11.138,0.37,0.083,0.128,0.135,6.614,6.362,8.058,1.086,44.684,0.118,0,0,0,6.787,5.734,0,0,10627.976
OilGas,2.322,0.448,2481.242,265.765,108.498,0.135,0.013,0.015,1.59,6.418,318424.981,6444.975,12.208,4.161,32.097,2.198,19.709,3.227,0.962,6.58,3.134,1.075,10.299,11.678,32615.964,3020.414,227.271,32.782,677.605,7.439,799.662,15.708,2.933,2.077,4.385,176.65,98.81,3.552,19.542,114.528,286.837,1.118,0,0,0,67.59,57.104,0,0,37386.593
OXT,1103.565,1389.171,11101.948,5926.758,161.272,8.359,0.285,0.806,2.987,364.532,352.59,8076.662,5484.67,8359.954,10198.622,698.839,178.602,82.221,111.01,19.476,428.838,42.758,1.743,15.364,160.289,4.254,244.713,11859.515,343.328,3.972,98.993,119.424,290.275,1.337,17.472,66.589,1584.565,230.43,63.513,1247.316,701.658,2.007,0,0,0,111.479,110.873,3.427,154753.55,10718.181
FoodPr,38619.262,0.195,1.243,5.916,230817.491,41.574,28.188,1173.293,57.967,2883.892,70.549,4333.854,197.452,10.609,0.327,14.397,11.371,6.164,3.923,12.379,111.619,4.194,1242.297,174.789,68.433,1.004,303.985,873.018,5292.13,905.724,68.994,72046.958,180.149,10.618,650.395,67.668,7474.023,18624.376,42625.363,7947.95,19154.206,9.69,0,0,0,339339.627,367199.45,23.756,31.431,85354.105
Textile,391.408,12.935,3.221,7.307,263.245,11095.036,2817.985,314.041,608.19,4266.755,7.052,219.53,437.922,1.105,0.944,78.268,1264.294,1108.907,16.019,42.744,5495.091,3558.463,7.787,3218.639,24.446,0.145,106.951,1869.208,7084.465,239.545,81.521,1832.655,236.336,6.99,21.714,114.67,1573.285,126.924,4859.649,2087.851,1955.416,12.828,0,0,0,10409.793,15920.859,7.883,1658.957,14454.098
Apparel,11.322,0.433,1.209,1.215,20.649,62.798,897.718,14.629,1.76,221.224,0.312,4.203,1.815,0.283,0.111,5.982,5.974,2.842,1.266,2.558,155.334,16.142,0.381,7.395,38.785,0.146,126.851,37.362,914.389,7.773,7.282,148.259,441.529,6.997,49.401,11.183,486.102,391.431,1082.217,1195.49,1108.804,3.532,0,0,0,50036.005,55061.185,8.103,9.311,3531.881
LEA,21.689,0.429,0.071,0.45,25.382,204.943,145.586,743.217,1.29,318.713,1.587,2.069,0.194,0.191,0.034,7.827,6.361,12.309,0.435,2.331,206.049,2075.739,0.416,9.773,1.197,0.17,2.494,8.839,564.813,0.198,2.03,22.394,45.33,3.499,5.645,1.779,208.439,3.744,249.476,155.195,176.358,0.972,0,0,0,21418.932,26697.168,2.512,0.386,2675.705
WoodPr,372.747,73.28,61.694,118.903,488.029,56.904,3.124,1.547,19043.512,5689.897,1.722,300.758,428.597,30.61,377.315,405.685,979.955,2329.852,213.277,361.848,5051.103,2947.429,5.413,1256.287,7.774,1.945,71.768,32039.268,3997.575,21.324,1392.447,1413.3,2038.475,69.877,41.42,4966.437,2477.635,1974.309,1616.569,721.022,1058.488,224.529,0,0,0,2494.142,2449.481,1.054,4065.223,7574.875
PaperPr,509.588,117.467,92.334,234.406,30071.668,661.244,98.713,35.007,632.662,56885.007,52.382,8313.86,1678.156,911.968,1065.465,2456.613,2379.944,897.619,1288.542,769.556,3614.395,2331.191,1171.771,4982.656,70.713,12.699,636.061,2858.165,24360.306,92.346,3718.607,6828.68,13415.981,4307.638,1932.421,1154.347,29810.437,12280.617,16735.891,5070.611,12553.501,744.972,0,0,0,12876.296,20568.629,0.549,5.357,33838.983
